question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,a minimum of 80%,0.5132646844039445,0.12274122987846627,0.1160430633342203,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,yes,0.1664042915394335,0.09965302224693247,0.05148855231653708,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,10,0.1175218051648113,0.04403999761614107,0.010100220694242112,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,30,0.13324175587763698,0.06099935261433944,0.024422501104469262,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,the first year,0.0,0.0760508914798477,0.071827851406813,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,Mondays and Fridays,0.39409509724966246,0.7472134114422077,0.6117929811965395,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,24 and 48 hours,0.38982617604535386,0.09109175127759997,0.07023648486371413,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,6,0.14560022291546057,0.5971665035075953,0.8078865758031858,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,no,0.24343047822984565,0.12144870142006149,0.025252173811520506,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,the student,0.0,0.08908128220488219,0.06776104717225932,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,€1500,0.29924507637587167,0.10530213973256436,0.07897137764930402,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,one,0.10261349576053207,0.07715592221494384,0.04227750488691689,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,Global Information Processing System,0.4523116235370888,0.11286786198085158,0.11287260461597706,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,Global Association of Education Finance (GAEF),0.955612733218132,0.14620018198265383,0.14622098422070876,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,one month,0.21375702275784722,0.09497082874036383,0.43537952399164936,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,no,0.2037379845629016,0.1214448091020968,0.01989823785326164,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,1st of September,0.15592662262901083,0.095565234413241,0.5737997754930464,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,by the end of the second semester,0.0,0.11972630575894806,0.5911005200755641,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
What is the deadline for internship enrollment extension?,January 1,0.29544968449195164,0.08472878882413552,0.04521258865218239,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,no,0.2754991863761029,0.8870205890530397,0.06235205229063686,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,a percentage of a total of 80%,0.0,0.13715874185502808,0.12064512579383878,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,a percentage of a total of 80%,0.0,0.5121587418550281,0.12417911969416941,40%.,The evaluation of the final report accounts for 40% of the final grade.
What percentage of the final grade corresponds to the academic supervisor’s monitoring?,5%,0.0,0.14132977256995666,0.0796613178291672,20%.,The academic supervisor monitoring accounts for 20% of the final grade.
When is internship registration processed?,during the semester,0.0,0.07258393870633009,0.08843693365806271,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.
Can students carry out international internships?,yes,0.22397127689957416,0.9053796211666132,0.7778571591957603,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership."
