ID,Q,SA,LA,Source_doc,Source_text,longitud_ref,chunk_relevante,similitud_max
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,DOC_001,Degree: Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,248,DOC_001_chunk_0005,1.0
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,DOC_001,Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,240,DOC_001_chunk_0005,1.0
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",365,DOC_001_chunk_0006,1.0
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",DOC_001,The student may work a maximum of 6 hours per day. ,51,DOC_001_chunk_0007,1.0
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",DOC_001,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",326,DOC_001_chunk_0008,1.0
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,DOC_001,"Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. ",257,DOC_001_chunk_0009,1.0
Q_011,What is the minimum hourly remuneration during curricular internships?,3 euros.,The minimum hourly remuneration of inthership is 3 euros.,DOC_001,"Extracurricular intership must always be remunerated. Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",338,DOC_001_chunk_0011,1.0
Q_012,How many internships can statistics students complete?,Up to two internships.,Statistics students can complete up to two internships.,DOC_001,"Internships for statistics students are optional, and they can complete up to two.",82,DOC_001_chunk_0011,1.0
Q_013,What is GIPE?,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,DOC_002,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,144,DOC_002_chunk_0001,1.0
Q_014,What is GAEF?,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular.",DOC_002,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.",100,DOC_002_chunk_0003,1.0
Q_015,How much in advance must the Career Services Office receive the internship documentation?,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.,DOC_002,"The deadlines for applying for internships (curricular or extracurricular) require that one week in advance the Career Services Office must have both the company's internship request (properly completed, all correct: prior agreement active and internship offer to GIPE) as well as the student's prior documentation",314,DOC_002_chunk_0005,1.0
Q_016,Can a student substitute an enrolled elective course for an internship?,Yes.,The student can exchange a previously enrolled elective course for the internship course.,DOC_002,ELECTIVE EXCHANGE: you can exchange a previously enrolled elective course for the internship course.,100,DOC_002_chunk_0006,1.0
Q_017,By when must first-semester curricular internships be active in GIPE?,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.,DOC_002,First-semester courses must be in ACTIVE status in GIPE approximately before November 14 of the academic year.,110,DOC_002_chunk_0006,1.0
Q_018,By when must second-semester curricular internships be active in GIPE?,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.,DOC_002,Second-semester courses must be in ACTIVE status in GIPE approximately before April 30 of the academic year. ,109,DOC_002_chunk_0007,1.0
Q_019,What is the deadline for internship enrollment extension?,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.,DOC_002,ENROLLMENT EXTENSION: Around May 31 of the academic year in ACTIVE status in GIPE.,82,DOC_002_chunk_0007,1.0
Q_020,Can a student close their file if they have completed all credits but are still doing extracurricular internships?,No.,"No, the student cannot close their file until the internship end date has passed.",DOC_002,"If undertaking extracurricular internships, the student cannot close their file or request their bachelor's/master's/postgraduate degree until the internship end date has passed.",178,DOC_002_chunk_0008,1.0
Q_021,What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.,DOC_002,"Company supervisor: During the last week of the internship, they must complete the evaluation form (40% of the final grade). ",125,DOC_002_chunk_0009,1.0
Q_022,What percentage of the final grade corresponds to the evaluation of the final report?,40%.,The evaluation of the final report accounts for 40% of the final grade.,DOC_002,Evaluation of the final intership report (40% of the final grade) within a maximum of fifteen calendar days from the internship end date.,137,DOC_002_chunk_0009,1.0
Q_023,What percentage of the final grade corresponds to the academic supervisor’s monitoring?,20%.,The academic supervisor monitoring accounts for 20% of the final grade.,DOC_002,Academic supervisor: Must schedule a minimum of two meetings with the student and complete two questionnaires: Monitoring (20% of the final grade) throughout the entire internship period.,187,DOC_002_chunk_0009,1.0
Q_024,When is internship registration processed?,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.,DOC_002,"Registration for internships is not done on the same day as regular registration for other courses. Instead, we process it once the corresponding training project has been approved, within a maximum of fifteen days after the project is marked as active in the GIPE.",265,DOC_002_chunk_0011,1.0
Q_025,Can students carry out international internships?,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership.",DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",335,DOC_002_chunk_0012,1.0
Q_026,What type of insurance is required to undertake internships?,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership.",DOC_002,"To do internships, it is mandatory to have an insurance policy that provides medical, accident, liability, and repatriation coverage.",133,DOC_002_chunk_0013,1.0
Q_027,How do students under 28 obtain the required internship insurance?,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.,DOC_002,Students in official degree programs under the age of twenty-eight purchase the mandatory insurance when they enroll each academic year; this policy already includes these coverages.,182,DOC_002_chunk_0013,1.0
Q_028,What must students over 28 do to obtain internship insurance?,They must purchase a voluntary insurance policy.,Students over 28 must purchase a voluntary intership insurance policy during or after registration.,DOC_002,Students over the age of twenty-eight and students in the Faculty's own programs must purchase a voluntary insurance policy at the time of registration or purchase it afterward. ,178,DOC_002_chunk_0014,1.0
Q_029,What is the minimum length allowed for the internship final report?,15 pages.,The minumum length of the intership report is 15 pages.,DOC_002,The intership report must have a minimum extension of 15 pages (not counting the annexes) and a maximum of 30 pages.,116,DOC_002_chunk_0010,1.0
Q_030,What is the maximun length allowed for the internship final report?,30 pages.,The maximum length of the intership report  is 30 pages.,DOC_002,The intership report must have a minimum extension of 15 pages (not counting the annexes) and a maximum of 30 pages.,116,DOC_002_chunk_0010,1.0
Q_031,How many modalities of the Bachelor’s Thesis are defined?,Four modalities.,There are four modalities of the Bachelor’s Thesis.,DOC_003,There are four modalities of Bachelor’s Thesis,46,DOC_003_chunk_0000,1.0
Q_032,Can a student carry out the Bachelor’s Thesis with an external company?,Yes.,Students can carry out the Bachelor's Thesis with an external company.,DOC_003,"Modality B: Bachelor’s Thesis carried out in companies or entities, associated with an educational cooperation agreement between the company and the university (External Internships program).",191,DOC_003_chunk_0000,1.0
Q_033,Can a student carry out the Bachelor’s Thesis during the exchange?,Yes.,Students can carry out the Bachelor's Thesis during the exchange.,DOC_003,"Modality C: Bachelor’s Thesis carried out within the framework of mobility, through an academic exchange program.",113,DOC_003_chunk_0000,1.0
Q_034,What is the maximum number of students allowed for a Bachelor’s Thesis group?,Two students.,"The Bachelor’s Thesis must be done individually, with exceptions allowing groups of two students.",DOC_003,"The Bachelor’s Thesis must be done individually. Exceptionally, the Head of Studies may authorize groups of two people, after written justification by the director of the Bachelor’s Thesis.",189,DOC_003_chunk_0000,1.0
Q_035,What is the maximum number of pages of the Bachelor's Thesis?,50 pages.,The Bachelor's Thesis can be a maximum of 50 pages.,DOC_003,The memory will have a maximum of 50 pages and may contain annexes in case you want to attach complementary information. ,121,DOC_003_chunk_0003,1.0
Q_036,How many hours does a student have to dedicate to their final degree project?,450 hours.,They must dedicate a total of 450 hours to the Bachelor's Thesis.,DOC_003,"As a guide, the student's dedication to the elaboration of works, must be 25h ' 1 credit, that is, a total of 18 ECTS25h / ECTS.450h of work.",141,DOC_003_chunk_0004,1.0
Q_037,Who evaluates the Bachelor’s Thesis?,The tribunal.,A tribunal is responsible for evaluating both the report and the defense.,DOC_003,"The tribunal is responsible for evaluating the report of the work and the defense, in accordance with the objectives established in the teaching guide of the degree, and to communicate the qualification obtained to the student and the CTFG. ",241,DOC_003_chunk_0005,1.0
Q_038,How long does the student's defense of the thesis last?,15 minuts.,The defense lasts 15 minuts.,DOC_003,"A limitation of 15 minutes is established from the start of the call for the student to present himself to the defense.  6. The indicative duration of the act will be 30 minutes, of which approximately 15 minutes will be devoted to the defense of the thesis.",258,DOC_003_chunk_0007,0.996031746031746
Q_039,How many members compose the Bachelor’s Thesis tribunal?,4 members.,"The tribunal consists of at least four members: a president, a secretary, a member, and a substitute.",DOC_003,"The court is composed, at least, of: the president, who directs the entire process of action of the court; the secretary, who guards the evaluation act; a member; a substitute.",176,DOC_003_chunk_0006,1.0
Q_040,How many keywords must the Bachelor’s Thesis include in the abstract?,Between 5 and 10 keywords.,The abstract must include between 5 and 10 keywords.,DOC_003,"Abstract and Keywords: A summary of the work in the language in which the Bachelor’s Thesis is written must be included, no more than 10 lines long, that synthesizes its essential content. Next, several keywords—no fewer than five and no more than ten—must be provided, indicating the topics addressed in the work.",314,DOC_003_chunk_0000,1.0
Q_041,How long should the abstract of the final thesis be?,Between 200 and 500 words.,The abstract should be between 200 and 500 words.,DOC_003,"If the language used in the work is one of the two official languages of the UB/UPC (Spanish and Catalan) or a third language other than English, the title, keywords, and an abstract of between 200 and 500 words must be added in English.",237,DOC_003_chunk_0009,1.0
Q_042,Where is the Bachelor’s Thesis submitted?,Through the dropbox of the Virtual Campus.,They will submit the thesis through the dropbox that will be set up in the TFG area of the Virtual Campus.,DOC_003,"The submission of the thesis will be made in PDF format and as a single file, through the dropbox that will be set up in the Bachelor’s Thesis area of the Virtual Campus.",170,DOC_003_chunk_0000,1.0
Q_043,How many credits must undergraduate students have completed to participate in mobility programs?,60 credits.,They must have completed at least 60 ECTS credits to participate in mobility programs.,DOC_004,"Calls for mobility require that UB students meet, at a minimum, the following requirements: b) provide proof of the language proficiency level required by the foreign institution, as specified in the agreement signed with the UB c) have a minimum of 60 credits completed for undergraduate studies (or the first year completed)  ",328,DOC_004_chunk_0001,1.0
