question,answer,faithfulness,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,An undergraduate student must have passed 50% of the credits for the program before starting curricular internships.,1.0,0.691733072882542,0.6528079280837442,0.9876789587583481,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"Based on the provided information, it's impossible to determine if class schedules can overlap with curricular internship schedules.",1.0,0.0,0.04831705312228371,0.18401984758699585,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,The minimum number of hours required for a formative project in a curricular internship is 300.,1.0,0.9949563645588616,0.625948390497546,0.9607751314686727,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,The maximum number of hours required for a formative project in the curricular internship is 375.,1.0,0.9999999999999999,0.610229621579222,0.9615363414571173,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,"A student must complete their curricular internship during the academic period for which their enrollment is valid, typically running from September 15th of one year to September 14th of the following year.",1.0,0.910841280742805,0.6831990255578284,0.9389707632544232,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships can be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",1.0,0.8906657557830906,0.77442254870397,0.9039295144293933,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships can take place between 8:00 AM and 9:00 PM, Monday through Friday, excluding holidays.",1.0,0.9508781169136705,0.5349013328587071,0.612430236304029,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,The maximum number of hours a student can work per day during internships is 6.,1.0,1.0,0.6068369686109345,0.9545127808276046,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"No, the provided text states that there are no exceptions to the daily working hours during curricular internships.",0.0,1.0,0.05801900066907432,0.13441984687394706,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,The company or institution providing the internship training project must make a financial contribution.,0.5,0.6864539558310212,0.7573551608752664,0.9720046058202713,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
