,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,7,11,27,16,15,3
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,2,1,1,1,1,79
5,1,1,1,1,1,77
6,1,1,1,1,1,71
7,2,2,1,2,1,58
8,3,3,4,4,3,2
9,1,1,1,1,1,83
10,3,3,1,1,1,2
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,67
14,1,1,1,1,1,86
15,15,5,2,2,2,61
16,2,1,1,2,1,75
17,2,1,1,1,1,1
18,17,5,5,11,4,1
19,1,1,1,1,1,1
20,1,1,1,1,1,59
21,6,7,2,3,1,1
22,1,1,1,1,1,59
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,70
26,1,1,1,1,1,79
27,2,2,2,2,2,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,2,2,2,4,23
31,1,2,2,1,1,72
32,1,1,1,1,2,81
33,3,2,2,2,2,65
34,2,2,1,1,1,112
35,14,8,2,7,2,2
36,12,7,27,26,8,1
37,1,1,1,1,1,1
38,5,4,3,5,2,83
39,2,2,2,2,3,27
40,19,7,8,9,11,1
41,1,1,1,1,2,7
42,8,13,10,25,12,42
43,6,8,6,11,9,73
44,2,2,2,2,1,32
45,19,15,15,15,5,10
46,1,1,1,2,1,1
47,1,1,1,1,1,1
48,1,2,1,1,1,87
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,2,1,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,71
60,1,1,2,1,1,1
61,1,1,1,1,1,1
62,2,2,2,2,2,1
63,3,2,3,1,2,108
64,1,3,1,18,2,93
65,7,5,4,1,4,1
66,9,9,3,4,1,17
67,8,7,3,3,3,22
68,1,1,1,1,3,1
69,1,2,2,3,3,1
70,1,1,1,1,1,71
71,1,1,2,1,2,63
72,3,9,2,9,1,73
73,1,2,1,2,1,66
74,4,2,2,3,2,64
75,1,1,1,1,1,78
76,1,2,1,1,1,66
77,2,2,1,1,1,69
78,3,2,3,3,3,73
79,1,1,1,1,1,24
80,1,1,1,1,1,28
81,5,4,4,3,4,1
82,5,3,1,2,1,1
83,1,1,1,1,1,75
84,1,1,2,1,1,1
85,1,1,2,2,2,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,73
89,3,4,1,1,1,2
90,1,1,1,1,1,1
91,6,2,1,1,2,1
92,1,1,1,1,1,37
93,1,1,1,1,1,6
94,2,2,2,2,2,77
95,1,2,2,2,2,7
96,1,1,1,1,1,1
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,1,1,1,1,65
100,1,2,2,1,3,80
101,2,2,1,1,1,22
102,2,2,3,2,3,88
103,1,1,1,1,1,19
104,1,1,1,1,1,1
105,1,1,1,3,1,2
106,1,1,1,3,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,97
110,2,3,1,1,1,116
111,8,1,1,3,1,1
112,4,3,1,3,1,1
113,2,4,1,4,1,72
114,1,1,1,1,1,1
115,4,1,1,1,1,1
116,2,1,1,3,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,2,2,4,4,2,2
121,1,1,2,2,1,1
122,7,4,4,1,1,1
123,9,3,4,2,2,1
124,1,1,1,1,1,1
125,12,21,8,9,9,92
126,1,1,1,1,1,1
127,1,1,2,1,1,1
128,1,1,1,1,1,79
129,3,2,1,1,1,4
130,1,1,1,1,1,1
131,9,4,4,10,3,67
132,15,9,20,26,7,62
133,8,3,3,2,2,22
134,2,2,2,1,2,19
135,1,1,1,1,1,1
