question,answer,faithfulness,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,50%,1.0,0.0,0.9057898004264924,0.5992371911973498,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,yes,0.0,0.16640502830440793,0.09965302224693247,0.051484398569346404,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,300 hours,1.0,0.4120923776296664,0.9878327672506977,0.8815580824415393,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,300 hours,0.0,0.43195682200080326,0.15629463850699923,0.12589504036761995,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,the academic period for which the enrollment is valid,1.0,0.2600393634579574,0.11306029974713386,0.11936010040606326,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,Monday through Friday,1.0,0.36918083601048785,0.915203497736851,0.8770240196164988,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,8:00 AM and 9:00 PM,1.0,0.3611142719679126,0.9544593197266155,0.9004566022103297,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,6 hours,1.0,0.21647747002286286,0.9809217776068694,0.8713911573839438,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8,0.5559146655484012,0.2843380229458399,0.9536140990283758,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,company or institution,1.0,0.0,0.7453701226749834,0.8683202786078735,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,3 euros,1.0,0.29619711244265806,0.9863052661503393,0.8694819170822671,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,two,1.0,0.10261449483611072,0.8396750814189262,0.5624164377075132,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed,1.0,0.23363903832778074,0.9377061527258569,0.9377106813784128,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,the application used to track and evaluate internships,1.0,0.25284668300262575,0.7718836131328908,0.771921536416859,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
