ID,Q,SA,LA,Source_doc,Source_text,longitud_ref,chunk_relevante,similitud_max,respuesta_con_rag,respuesta_sin_rag,chunk_rec_1_id,chunk_rec_1_doc,chunk_rec_1_texto,chunk_rec_1_sim,chunk_rec_2_id,chunk_rec_2_doc,chunk_rec_2_texto,chunk_rec_2_sim,chunk_rec_3_id,chunk_rec_3_doc,chunk_rec_3_texto,chunk_rec_3_sim
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368,An undergraduate student must have passed 50% of the credits for the program before starting curricular internships.,"I am not able to provide specific information about credit requirements for curricular internships at the University of Barcelona.  To find that information, I would recommend checking the official website of the Faculty of Economics and Business or contacting the relevant department directly.",DOC_001_chunk_0003,DOC_001,". e) At the time the intership begins, the undergraduate student must have passed 50% of the credits for the program.",0.8816937804222107,DOC_001_chunk_0002,DOC_001,". The program has a total of 240 credits. Requirements for Accessing Internships  In addition to what is established by the UB regulations, in order to carry out the internships, the student of the Faculty of Economics and Business must meet the following requirements: In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap",0.8590810298919678,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8404045701026917
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368,"Based on the provided information, it's impossible to determine if class schedules can overlap with curricular internship schedules.","It is possible for class schedules to overlap with curricular internship schedules, depending on the specific courses and internships offered.",DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8471946716308594,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8402490019798279,DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8377550840377808
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,DOC_001,Degree: Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,248,DOC_001_chunk_0005,1.0,The minimum number of hours required for a formative project in a curricular internship is 300.,"I am unable to provide specific information about the minimum hours required for a formative project in the curricular internship.  As an AI, I do not have access to real-time university policies or course details.",DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8459651470184326,DOC_001_chunk_0005,DOC_001,. Each training project must include a minimum of 300 hours and a maximum of 375 hours.,0.843633770942688,DOC_001_chunk_0011,DOC_001,". Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",0.8313808441162109
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,DOC_001,Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,240,DOC_001_chunk_0005,1.0,The maximum number of hours required for a formative project in the curricular internship is 375.,I am unable to provide specific information about the maximum hours required for a formative project in the curricular internship.  My knowledge about this topic is limited as I do not have access to real-time university policies or internal documents.,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8464388847351074,DOC_001_chunk_0005,DOC_001,. Each training project must include a minimum of 300 hours and a maximum of 375 hours.,0.8449888229370117,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8289585709571838
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",365,DOC_001_chunk_0006,1.0,"A student must complete their curricular internship during the academic period for which their enrollment is valid, typically running from September 15th of one year to September 14th of the following year.","A typical curricular internship for students in economics and business is completed during the final year of their studies, usually between the 4th and 5th semester.",DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8733136057853699,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8586950302124023,DOC_002_chunk_0009,DOC_002,"Company supervisor: During the last week of the internship, they must complete the evaluation form (40% of the final grade). Academic supervisor: Must schedule a minimum of two meetings with the student and complete two questionnaires: Monitoring (20% of the final grade) throughout the entire internship period. Evaluation of the final intership report (40% of the final grade) within a maximum of fifteen calendar days from the internship end date",0.8548226356506348
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0,"Internships can be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.","Internships can be carried out on weekdays, typically Monday to Friday.",DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8700766563415527,DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8494846820831299,DOC_002_chunk_0012,DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",0.8412284851074219
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0,"Internships can take place between 8:00 AM and 9:00 PM, Monday through Friday, excluding holidays.","Internships typically take place during weekdays, often between 9 am and 6 pm, though specific schedules vary depending on the company and internship program.",DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8842182159423828,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8458000421524048,DOC_002_chunk_0012,DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",0.8416633605957031
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",DOC_001,The student may work a maximum of 6 hours per day. ,51,DOC_001_chunk_0007,1.0,The maximum number of hours a student can work per day during internships is 6.,I am not able to provide specific legal or regulatory information like the maximum working hours for students on internships.  That would require consulting official sources from the University of Barcelona or relevant labor laws in Spain.,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8947063684463501,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8907831907272339,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8514021635055542
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",DOC_001,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",326,DOC_001_chunk_0008,1.0,"No, the provided text states that there are no exceptions to the daily working hours during curricular internships.","While there might be some flexibility in specific cases, generally speaking, daily working hours during curricular internships are typically fixed within the agreed-upon schedule.",DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8860828876495361,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8558463454246521,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8534948825836182
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,DOC_001,"Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. ",257,DOC_001_chunk_0009,1.0,The company or institution providing the internship training project must make a financial contribution.,"The person or organization responsible for funding an internship training project is usually the one that benefits from it, such as a company or institution.",DOC_001_chunk_0009,DOC_001,"Economic Aspects: Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. This amount must be specified in each student's training project. Exemption from payment is always subject to the discretion of the Dean of the Faculty",0.8862441778182983,DOC_001_chunk_0010,DOC_001,". Exemption from payment is always subject to the discretion of the Dean of the Faculty. The internship agreement may provide that the company or institution remunerate the student, in the manner determined, as a scholarship or study aid. This amount must be indicated in the student's individual training plan for the practicum and must take into account the following: Extracurricular intership must always be remunerated",0.8217093348503113,DOC_002_chunk_0013,DOC_002,"To do internships, it is mandatory to have an insurance policy that provides medical, accident, liability, and repatriation coverage. Students in official degree programs under the age of twenty-eight purchase the mandatory insurance when they enroll each academic year; this policy already includes these coverages",0.8205544948577881
