question,answer,faithfulness,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,The given information is not provided in the question.,0.0,0.0,0.028558492783833933,0.021179796649032072,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"No, class schedules do not overlap with curricular intership schedules. The class schedules of the students are set out in the academic calendar, which is published by the University of Barcelona. The curricular intership schedules, on the other hand, are set out in the curriculum of the corresponding program, which is available on the Faculty of Economics and Business website.",0.0,0.8073836856814468,0.3004219326371037,0.1631501495513517,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,"The minimum number of hours required for a formative project in the curricular internship is 300 hours.

The maximum number of hours required for a formative project in the curricular internship is 375 hours.

The minimum number of hours required for an optional curricular internship is 300 hours.

The maximum number of hours required for an optional curricular internship is 375 hours.

The minimum number of hours required for a mandatory curricular internship is 300 hours.

The maximum number of hours required for a mandatory curricular internship is 375 hours.

The minimum number of hours required for a",0.5,0.8084260637580862,0.3310654843830122,0.41185430012674556,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,The maximum number of hours required for a formative project in the curricular internship is 375 hours.,1.0,1.0,0.8506177778339253,0.9625196570349144,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,"A student should complete their curricular internship within the academic period for which the enrollment is valid. Under no circumstances may they extend or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.

The internship, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day.

The company supervisor must complete the evaluation form (40% of the final grade) within the last week",1.0,0.6652537864638604,0.3514236187617686,0.5027175344527635,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.

The student may work a maximum of 6 hours per day.

Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.

All undergraduate, master's, or postgraduate",1.0,0.5569410340045056,0.4414772298220504,0.5005835288113023,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day.

Duration and Schedules of Internships: The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.

Curricular internships: All undergraduate, master's, or postgraduate students can do internships, provided they have an active",1.0,0.5708337674770272,0.26705228559863703,0.3462383890322082,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,"The maximum number of hours a student can work per day during internships is 6 hours, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day, except for the following situations:

1. Exceptionally, they may work up to a maximum of 8 hours per day if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program, or if the internship takes place during the months of July and August.

2. The duration and schedules of internships are set out in Annex",1.0,1.0,0.22861927773719512,0.33660973163292796,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Yes, there are exceptions to the daily working hours during curricular internships. The student may work a maximum of 6 hours per day, excluding holidays, between 8:00 AM and 9:00 PM. However, if the student is in one of the following situations:

1. They have 12 credits left to complete their degree, excluding credits for the Final Degree Project;
2. They are a student in the EUS program; or
3. The internship takes place during the months of July and August, then the maximum working hours per day are 8 hours.

The duration and schedules of curricular internships are set out in",1.0,0.9835450059367196,0.24999165707414334,0.7948810729020608,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,"The financial contribution for each internship training project is required from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. This amount must be specified in each student's training project. The exemption from payment is always subject to the discretion of the Dean of the Faculty. The internship agreement may provide that the company or institution remunerate the student, in the manner determined, as a scholarship or study aid. The amount must be indicated in the student's individual training plan for the practicum and must take into account the following: Extracurricular intership must always be remunerated.",1.0,0.7461267322072689,0.2739358971246698,0.3226632729967265,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,The minimum hourly remuneration during curricular internships for statistics students is 3 euros.,0.0,0.8283316974444647,0.8545292851185361,0.9146484149511801,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,"Statistics students can complete up to two internships during their undergraduate, master's, or postgraduate studies at the University of Barcelona. The minimum number of internships required for the degree is 3 euros.",0.0,0.8119114020543656,0.6447578750461302,0.6831349286600206,Up to two internships.,Statistics students can complete up to two internships.
