question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,"I am not able to provide specific information about credit requirements for curricular internships at the University of Barcelona.  To find that information, I would recommend checking the official website of the Faculty of Economics and Business or contacting the relevant department directly.",0.0,0.07808580122043808,0.5415668338751265,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"It is possible for class schedules to overlap with curricular internship schedules, depending on the specific courses and internships offered.",0.0,0.03118245336594549,0.17778028021029604,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,"I am unable to provide specific information about the minimum hours required for a formative project in the curricular internship.  As an AI, I do not have access to real-time university policies or course details.",0.0,0.08765725608773156,0.14886453911880432,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,I am unable to provide specific information about the maximum hours required for a formative project in the curricular internship.  My knowledge about this topic is limited as I do not have access to real-time university policies or internal documents.,0.0,0.058411354334035034,0.1550056931047227,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,"A typical curricular internship for students in economics and business is completed during the final year of their studies, usually between the 4th and 5th semester.",0.7776229673569238,0.14102736941270808,0.13404786044913192,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships can be carried out on weekdays, typically Monday to Friday.",0.9833894841725974,0.7420818991259718,0.5829664348905806,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships typically take place during weekdays, often between 9 am and 6 pm, though specific schedules vary depending on the company and internship program.",0.8106928303872515,0.5533890648060347,0.6302436407032486,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,I am not able to provide specific legal or regulatory information like the maximum working hours for students on internships.  That would require consulting official sources from the University of Barcelona or relevant labor laws in Spain.,0.0,0.06604912105721857,0.12760752705464484,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"While there might be some flexibility in specific cases, generally speaking, daily working hours during curricular internships are typically fixed within the agreed-upon schedule.",0.0,0.03318684236990616,0.48714085118953804,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,"The person or organization responsible for funding an internship training project is usually the one that benefits from it, such as a company or institution.",0.8013635646446038,0.17448717740931957,0.17315603420033732,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,"I am not able to provide specific legal information like minimum wage rates for internships.  To find that information, I recommend checking the official website of the Catalan government or contacting the UB's career services department.",0.0,0.06977716628703728,0.10752667040260576,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,"As a statistics student at the UB, I am not able to provide a specific number for how many internships one can complete.",0.0,0.12878444574242456,0.16869659891289274,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,"GIPE stands for ""Grupo de Investigación en Economía Política"" which translates to ""Research Group in Economic Policy"" in English.",0.9542605630058746,0.1508165550068204,0.1508165550068204,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,"GAEF stands for ""**Grupo de Análisis Económico y Financiero**"", which translates to ""Economic and Financial Analysis Group"" in English.",0.955598856230948,0.16006911208274485,0.16008128924983095,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,I would need to check the specific guidelines from the Career Services Office at the UB for information on how much advance notice is required for internship documentation.,0.0,0.4801803236190731,0.5467883491125807,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,"I am not able to provide specific advice on university policies or regulations, as I am just an AI assistant.  It would be best to consult your university's academic handbook or speak directly with your program advisor to determine if substituting an enrolled elective course for an internship is possible.",0.0,0.33592270441165195,0.43878349501822195,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,"I am not able to access specific information from external systems like GIPE, so I cannot tell you by what date first-semester curricular internships must be active there.",0.0,0.10022569618343019,0.47926509470113055,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,"I am not able to access specific information from external systems like GIPE, including their internship deadlines.",0.0,0.07476050107946298,0.4319392696941969,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
