ID,Q,SA,LA,Source_doc,Source_text,longitud_ref,chunk_relevante,similitud_max,estado_mapeo,respuesta_con_rag,respuesta_sin_rag,chunk_rec_1_id,chunk_rec_1_doc,chunk_rec_1_texto,chunk_rec_1_sim,chunk_rec_2_id,chunk_rec_2_doc,chunk_rec_2_texto,chunk_rec_2_sim,chunk_rec_3_id,chunk_rec_3_doc,chunk_rec_3_texto,chunk_rec_3_sim
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368,OK,50%,a minimum of 80%,DOC_001_chunk_0003,DOC_001,". e) At the time the intership begins, the undergraduate student must have passed 50% of the credits for the program.",0.8816937804222107,DOC_001_chunk_0002,DOC_001,". The program has a total of 240 credits. Requirements for Accessing Internships  In addition to what is established by the UB regulations, in order to carry out the internships, the student of the Faculty of Economics and Business must meet the following requirements: In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap",0.859080970287323,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8404045701026917
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",DOC_001,"In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap. e) At the time the practicum begins, the undergraduate student must have passed 50% of the credits for the program. ",214,DOC_001_chunk_0003,0.9369369369369368,OK,yes,yes,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8471947908401489,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8402491211891174,DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8377552032470703
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,DOC_001,Degree: Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,248,DOC_001_chunk_0005,1.0,OK,300 hours,10,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8459650874137878,DOC_001_chunk_0005,DOC_001,. Each training project must include a minimum of 300 hours and a maximum of 375 hours.,0.8436337113380432,DOC_001_chunk_0011,DOC_001,". Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",0.8313808441162109
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,DOC_001,Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program. Each training project must include a minimum of 300 hours and a maximum of 375 hours,240,DOC_001_chunk_0005,1.0,OK,300 hours,30,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8464389443397522,DOC_001_chunk_0005,DOC_001,. Each training project must include a minimum of 300 hours and a maximum of 375 hours.,0.844989001750946,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8289587497711182
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",365,DOC_001_chunk_0006,1.0,OK,the academic period for which the enrollment is valid,the first year,DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8733137249946594,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8586950302124023,DOC_002_chunk_0009,DOC_002,"Company supervisor: During the last week of the internship, they must complete the evaluation form (40% of the final grade). Academic supervisor: Must schedule a minimum of two meetings with the student and complete two questionnaires: Monitoring (20% of the final grade) throughout the entire internship period. Evaluation of the final intership report (40% of the final grade) within a maximum of fifteen calendar days from the internship end date",0.8548228144645691
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0,OK,Monday through Friday,Mondays and Fridays,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8700766563415527,DOC_001_chunk_0006,DOC_001,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",0.8494846820831299,DOC_002_chunk_0012,DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",0.8412284851074219
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",141,DOC_001_chunk_0007,1.0,OK,8:00 AM and 9:00 PM,24 and 48 hours,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8842182159423828,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8458001613616943,DOC_002_chunk_0012,DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",0.8416635394096375
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",DOC_001,The student may work a maximum of 6 hours per day. ,51,DOC_001_chunk_0007,1.0,OK,6 hours,6,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8947066068649292,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8907833099365234,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8514021635055542
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",DOC_001,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",326,DOC_001_chunk_0008,1.0,OK,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",no,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8860831260681152,DOC_001_chunk_0008,DOC_001,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",0.8558464050292969,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8534950017929077
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,DOC_001,"Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. ",257,DOC_001_chunk_0009,1.0,OK,company or institution,the student,DOC_001_chunk_0009,DOC_001,"Economic Aspects: Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. This amount must be specified in each student's training project. Exemption from payment is always subject to the discretion of the Dean of the Faculty",0.8862440586090088,DOC_001_chunk_0010,DOC_001,". Exemption from payment is always subject to the discretion of the Dean of the Faculty. The internship agreement may provide that the company or institution remunerate the student, in the manner determined, as a scholarship or study aid. This amount must be indicated in the student's individual training plan for the practicum and must take into account the following: Extracurricular intership must always be remunerated",0.821709394454956,DOC_002_chunk_0013,DOC_002,"To do internships, it is mandatory to have an insurance policy that provides medical, accident, liability, and repatriation coverage. Students in official degree programs under the age of twenty-eight purchase the mandatory insurance when they enroll each academic year; this policy already includes these coverages",0.8205544948577881
Q_011,What is the minimum hourly remuneration during curricular internships?,3 euros.,The minimum hourly remuneration of inthership is 3 euros.,DOC_001,"Extracurricular intership must always be remunerated. Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",338,DOC_001_chunk_0011,1.0,OK,3 euros,€1500,DOC_001_chunk_0011,DOC_001,". Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",0.8756393194198608,DOC_001_chunk_0007,DOC_001,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",0.8605695366859436,DOC_001_chunk_0004,DOC_001,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",0.8422924876213074
Q_012,How many internships can statistics students complete?,Up to two internships.,Statistics students can complete up to two internships.,DOC_001,"Internships for statistics students are optional, and they can complete up to two.",82,DOC_001_chunk_0011,1.0,OK,two,one,DOC_001_chunk_0011,DOC_001,". Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",0.8554577827453613,DOC_002_chunk_0012,DOC_002,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",0.8233002424240112,DOC_001_chunk_0001,DOC_001,The statistics degree is from the University of Barcelona and is part of the Faculty of Economics and Business. The program has a total of 240 credits,0.8205053806304932
Q_013,What is GIPE?,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,DOC_002,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,144,DOC_002_chunk_0001,1.0,OK,the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed,Global Information Processing System,DOC_002_chunk_0001,DOC_002,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,0.8765004277229309,DOC_002_chunk_0002,DOC_002,"The student can update the information that the company can view (education, languages, work experience, etc.), as well as upload documents such as their resume. New offers are posted on the GIPE daily, and each one is active for one month. Once a student is selected (either through the GIPE or outside the application), the company must request to manage the internship through the GIPE.",0.8302156925201416,DOC_002_chunk_0007,DOC_002,". Second-semester courses must be in ACTIVE status in GIPE approximately before April 30 of the academic year. ENROLLMENT EXTENSION: Around May 31 of the academic year in ACTIVE status in GIPE. For specific dates, please consult the academic year's externship calendar.",0.8174273371696472
