question,answer,faithfulness,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,50%,1.0,0.0,0.9057758783637331,0.5992344068730071,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,Yes,0.0,0.1664065283279423,0.11634009745185239,0.053694151087631294,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,300 hours,1.0,0.4598839233135023,0.9878347908644948,0.8815794549603513,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,375 hours,1.0,0.4319765647208249,0.9891298438279353,0.8575241386638982,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,within the academic period for which the enrollment is valid,1.0,0.0,0.5050751123450313,0.42852759818469904,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Monday through Friday, excluding holidays",1.0,0.47651728392520426,0.8941602700209252,0.8367191839331849,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,8:00 AM and 9:00 PM,1.0,0.3611241883894669,0.9544550609811958,0.9004591496296954,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,6 hours,1.0,0.2164705821184457,0.9809297210672743,0.8714115874445589,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August",0.8,0.5572956452498742,0.2817983482120818,0.9544847715913048,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,the company or institution,0.5,0.0,0.7606606218777596,0.8785117563110746,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,3 euros,1.0,0.25358193226471243,0.986302111359389,0.8694837051989334,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,two,1.0,0.10266872864580229,0.5896848125814006,0.812425421251996,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed,1.0,0.23365970870049532,0.6877133864756919,0.9377133864756919,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,the application used to track and evaluate internships,1.0,0.2529309377229178,0.7719211890093161,0.7719211890093161,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,one week in advance,1.0,0.42855343791275363,0.9485009005687846,0.49610453181818626,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,yes,1.0,0.21032031673311447,0.9053770527316798,0.7809116005990542,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,November 14,1.0,0.1558884631326532,0.6290554645186325,0.4246876035457147,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,April 30 of the academic year,1.0,0.3168180930984815,0.7149318186147798,0.8715960397982127,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
What is the deadline for internship enrollment extension?,Around May 31 of the academic year,1.0,0.0,0.9928185878024338,0.6662494201654787,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,no,1.0,0.2615710783308467,0.8869621109483472,0.06237969994625885,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,40%,1.0,0.0,0.9786190927363986,0.8622407310240437,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,40%,1.0,0.0,0.9786190927363986,0.8676542640519256,40%.,The evaluation of the final report accounts for 40% of the final grade.
What percentage of the final grade corresponds to the academic supervisor’s monitoring?,20%,1.0,0.0,0.9723779121120787,0.8569286653053307,20%.,The academic supervisor monitoring accounts for 20% of the final grade.
When is internship registration processed?,once the corresponding training project has been approved,1.0,0.0,0.9480411068263892,0.6410339394266146,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.
Can students carry out international internships?,Yes,1.0,0.22394424045627156,0.9099296188562539,0.7776235142466007,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership."
What type of insurance is required to undertake internships?,"medical, accident, liability, and repatriation coverage",1.0,0.3625338617933984,0.9194224127392955,0.804250417632993,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership."
How do students under 28 obtain the required internship insurance?,when they enroll each academic year,1.0,0.33012701441440845,0.4512132507065594,0.6053369477243644,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.
