ID,Q,SA,LA,rouge1_f1_respuesta_con_rag_SA,rouge1_precision_respuesta_con_rag_SA,rouge1_recall_respuesta_con_rag_SA,rouge2_f1_respuesta_con_rag_SA,rouge2_precision_respuesta_con_rag_SA,rouge2_recall_respuesta_con_rag_SA,rougeL_f1_respuesta_con_rag_SA,rougeL_precision_respuesta_con_rag_SA,rougeL_recall_respuesta_con_rag_SA,bleu_respuesta_con_rag_SA,rouge1_f1_respuesta_con_rag_LA,rouge1_precision_respuesta_con_rag_LA,rouge1_recall_respuesta_con_rag_LA,rouge2_f1_respuesta_con_rag_LA,rouge2_precision_respuesta_con_rag_LA,rouge2_recall_respuesta_con_rag_LA,rougeL_f1_respuesta_con_rag_LA,rougeL_precision_respuesta_con_rag_LA,rougeL_recall_respuesta_con_rag_LA,bleu_respuesta_con_rag_LA,rouge1_f1_respuesta_sin_rag_SA,rouge1_precision_respuesta_sin_rag_SA,rouge1_recall_respuesta_sin_rag_SA,rouge2_f1_respuesta_sin_rag_SA,rouge2_precision_respuesta_sin_rag_SA,rouge2_recall_respuesta_sin_rag_SA,rougeL_f1_respuesta_sin_rag_SA,rougeL_precision_respuesta_sin_rag_SA,rougeL_recall_respuesta_sin_rag_SA,bleu_respuesta_sin_rag_SA,rouge1_f1_respuesta_sin_rag_LA,rouge1_precision_respuesta_sin_rag_LA,rouge1_recall_respuesta_sin_rag_LA,rouge2_f1_respuesta_sin_rag_LA,rouge2_precision_respuesta_sin_rag_LA,rouge2_recall_respuesta_sin_rag_LA,rougeL_f1_respuesta_sin_rag_LA,rougeL_precision_respuesta_sin_rag_LA,rougeL_recall_respuesta_sin_rag_LA,bleu_respuesta_sin_rag_LA
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,0.3,0.17647058823529413,1.0,0.1111111111111111,0.0625,0.5,0.3,0.17647058823529413,1.0,0.0,0.8484848484848485,0.8235294117647058,0.875,0.5806451612903225,0.5625,0.6,0.7272727272727272,0.7058823529411765,0.75,0.47207580389427084,0.15384615384615383,0.08695652173913043,0.6666666666666666,0.0,0.0,0.0,0.15384615384615383,0.08695652173913043,0.6666666666666666,0.0,0.41025641025641024,0.34782608695652173,0.5,0.10810810810810811,0.09090909090909091,0.13333333333333333,0.2564102564102564,0.21739130434782608,0.3125,0.0
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",0.10526315789473684,0.05555555555555555,1.0,0.0,0.0,0.0,0.10526315789473684,0.05555555555555555,1.0,0.0,0.46153846153846156,0.3333333333333333,0.75,0.3333333333333333,0.23529411764705882,0.5714285714285714,0.3846153846153846,0.2777777777777778,0.625,0.17001078098404226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.17391304347826086,0.5,0.06896551724137931,0.045454545454545456,0.14285714285714285,0.19354838709677416,0.13043478260869565,0.375,0.0
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,0.21052631578947367,0.11764705882352941,1.0,0.11764705882352941,0.0625,1.0,0.21052631578947367,0.11764705882352941,1.0,0.0,0.6666666666666667,0.5294117647058824,0.9,0.39999999999999997,0.3125,0.5555555555555556,0.6666666666666667,0.5294117647058824,0.9,0.3146660996956416,0.05714285714285715,0.030303030303030304,0.5,0.0,0.0,0.0,0.05714285714285715,0.030303030303030304,0.5,0.0,0.3255813953488372,0.21212121212121213,0.7,0.0975609756097561,0.0625,0.2222222222222222,0.3255813953488372,0.21212121212121213,0.7,0.0
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,0.21052631578947367,0.11764705882352941,1.0,0.11764705882352941,0.0625,1.0,0.21052631578947367,0.11764705882352941,1.0,0.0,0.6666666666666667,0.5294117647058824,0.9,0.39999999999999997,0.3125,0.5555555555555556,0.6666666666666667,0.5294117647058824,0.9,0.3146660996956416,0.05714285714285715,0.030303030303030304,0.5,0.0,0.0,0.0,0.05714285714285715,0.030303030303030304,0.5,0.0,0.3255813953488372,0.21212121212121213,0.7,0.0975609756097561,0.0625,0.2222222222222222,0.3255813953488372,0.21212121212121213,0.7,0.0
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),0.25,0.15625,0.625,0.052631578947368425,0.03225806451612903,0.14285714285714285,0.2,0.125,0.5,0.0,0.4090909090909091,0.28125,0.75,0.09523809523809523,0.06451612903225806,0.18181818181818182,0.2727272727272727,0.1875,0.5,0.0,0.1875,0.125,0.375,0.0,0.0,0.0,0.125,0.08333333333333333,0.25,0.0,0.16666666666666666,0.125,0.25,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.16666666666666666,0.0
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",0.32,0.21052631578947367,0.6666666666666666,0.1739130434782609,0.1111111111111111,0.4,0.32,0.21052631578947367,0.6666666666666666,0.1090009697802911,0.5333333333333333,0.42105263157894735,0.7272727272727273,0.2857142857142857,0.2222222222222222,0.4,0.5333333333333333,0.42105263157894735,0.7272727272727273,0.15573188896329046,0.125,0.07692307692307693,0.3333333333333333,0.0,0.0,0.0,0.125,0.07692307692307693,0.3333333333333333,0.0,0.3243243243243243,0.23076923076923078,0.5454545454545454,0.11428571428571428,0.08,0.2,0.3243243243243243,0.23076923076923078,0.5454545454545454,0.0
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,0.5333333333333333,0.36363636363636365,1.0,0.5,0.3333333333333333,1.0,0.5333333333333333,0.36363636363636365,1.0,0.3066439134043059,0.5294117647058824,0.4090909090909091,0.75,0.43749999999999994,0.3333333333333333,0.6363636363636364,0.5294117647058824,0.4090909090909091,0.75,0.3508772012923553,0.16666666666666666,0.10714285714285714,0.375,0.0,0.0,0.0,0.11111111111111112,0.07142857142857142,0.25,0.0,0.2,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.15,0.10714285714285714,0.25,0.0
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",0.2222222222222222,0.125,1.0,0.125,0.06666666666666667,1.0,0.2222222222222222,0.125,1.0,0.0,0.6153846153846154,0.5,0.8,0.33333333333333337,0.26666666666666666,0.4444444444444444,0.38461538461538464,0.3125,0.5,0.0,0.03571428571428571,0.018518518518518517,0.5,0.0,0.0,0.0,0.03571428571428571,0.018518518518518517,0.5,0.0,0.21875,0.12962962962962962,0.7,0.06451612903225806,0.03773584905660377,0.2222222222222222,0.15625,0.09259259259259259,0.5,0.0
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",0.026666666666666665,0.013513513513513514,1.0,0.0,0.0,0.0,0.026666666666666665,0.013513513513513514,1.0,0.0,0.25263157894736843,0.16216216216216217,0.5714285714285714,0.06451612903225806,0.0410958904109589,0.15,0.25263157894736843,0.16216216216216217,0.5714285714285714,0.0,0.07407407407407407,0.038461538461538464,1.0,0.0,0.0,0.0,0.07407407407407407,0.038461538461538464,1.0,0.0,0.2978723404255319,0.2692307692307692,0.3333333333333333,0.044444444444444446,0.04,0.05,0.21276595744680848,0.19230769230769232,0.23809523809523808,0.0
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,0.27272727272727276,0.16216216216216217,0.8571428571428571,0.1904761904761905,0.1111111111111111,0.6666666666666666,0.27272727272727276,0.16216216216216217,0.8571428571428571,0.0,0.3673469387755103,0.24324324324324326,0.75,0.21276595744680854,0.1388888888888889,0.45454545454545453,0.28571428571428575,0.1891891891891892,0.5833333333333334,0.0,0.27586206896551724,0.18181818181818182,0.5714285714285714,0.0,0.0,0.0,0.20689655172413793,0.13636363636363635,0.42857142857142855,0.0,0.5294117647058824,0.4090909090909091,0.75,0.125,0.09523809523809523,0.18181818181818182,0.29411764705882354,0.22727272727272727,0.4166666666666667,0.0
