question,answer,faithfulness,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,An undergraduate student must have passed 50% of the credits for the program before starting curricular internships.,1.0,0.691733072882542,0.9028079280837442,0.9876680476991647,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"No, class schedules cannot overlap with curricular internship schedules; interns must be available during their scheduled working hours.",0.5,0.9622341951716732,0.5666731869948931,0.19910305043195586,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,The minimum number of hours required for a formative project in the curricular internship is 300 hours.,1.0,1.0,0.8764378566098314,0.9640460798853007,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,The maximum number of hours required for a formative project in the curricular internship is 375 hours.,1.0,0.9999999999999999,0.8506176331304953,0.9625102771137672,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,"A student should complete their curricular internship during the academic period for which the enrollment is valid, typically running from September 15 of one year to September 14 of the following year.",1.0,0.9107520560094399,0.68214751975253,0.9404467606112988,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships can be carried out on Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",1.0,0.9153802862668451,0.7803606755863186,0.9072718125762157,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM.",1.0,0.6476673406336855,0.4283428216589289,0.5044766000292434,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,The maximum number of hours a student can work per day during internships is 6 hours.,1.0,1.0,0.8556848472680361,0.9548641896534816,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Yes, there are exceptions to the daily working hours during curricular internships. Specifically, an intern may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project; if they are a student in the EUS program; or if the internship takes place during the months of July and August.",1.0,0.9835502549345359,0.29406806829657717,0.9510760337165707,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,"Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period.",1.0,0.6365492894637136,0.4159971225165303,0.5598929084587662,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,The minimum hourly remuneration during curricular internships is 3 euros.,1.0,0.9999996509075486,0.8713518338717444,0.9363499270029253,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,Statistics students can complete up to two internships.,1.0,0.9999996220043106,0.9358382563601407,1.0,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,"GIPE stands for Graduate Internship Placement Engine, which serves as an application platform where internship offers are posted along with managing the corresponding documentation like agreements and training plans.",0.8,0.9145715003280226,0.9726951691280754,0.9726951691280754,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,"GAEF stands for ""Graduate Assessment Form,"" which is the application used to track and evaluate internships, both curricular and extracurricular, specifically designed for use within the context of the Graduate Education Program at the University of Barcelona.",0.5,0.9555966451057035,0.713623948663252,0.713623948663252,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,"The Career Services Office must have both the company's internship request properly completed, all correct, and the student's prior documentation properly completed, all correct, at least one week in advance.",1.0,0.7087986636573613,0.3678571615696742,0.5806153013266321,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,"Yes, a student can substitute an enrolled elective course for an internship if it meets certain eligibility criteria such as being in ACTIVE status in GIPE approximately before November 14 of the academic year.",0.75,1.0,0.3562327257398047,0.49446079289060635,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,First-semester curricular internships must be in ACTIVE status in GIPE approximately before November 14 of the academic year.,1.0,0.9578288889415695,0.6167257980101218,0.9683247873648199,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,Second-semester curricular internships must be active in GIPE approximately before April 30 of the academic year.,1.0,0.9744338527040671,0.6231840225828374,0.7279056806229471,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
What is the deadline for internship enrollment extension?,The deadline for internship enrollment extension is around May 31 of the academic year in ACTIVE status in GIPE.,1.0,0.8891768424061453,0.6394359632177109,0.5867196764149455,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,"Yes, a student who has completed all credits but is still doing extracurricular internships can close their file once the internship end date has passed.",0.3333333333333333,0.975152924343547,0.05051803033546037,0.20183140190128496,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,The company supervisor's evaluation constitutes 40% of the final grade for the internship.,1.0,0.9509341077180965,0.8530665257625814,0.9723352388291053,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,The evaluation of the final internship report corresponds to 40% of the final grade.,1.0,0.8681115173526436,0.8435270052384837,0.9626495281258656,40%.,The evaluation of the final report accounts for 40% of the final grade.
What percentage of the final grade corresponds to the academic supervisor’s monitoring?,The academic supervisor's monitoring contributes 20% to the final grade.,1.0,0.9490183095206465,0.8440389713389599,0.9767622845072559,20%.,The academic supervisor monitoring accounts for 20% of the final grade.
When is internship registration processed?,"Internship registration is processed once the corresponding training project has been approved, within a maximum of fifteen days after the project is marked as active in the GIPE.",1.0,0.7805024886971313,0.6466959938414314,0.9844657460303382,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.
Can students carry out international internships?,"Yes, all undergraduate, master's, or postgraduate students can engage in international internships as long as they meet certain eligibility criteria, including having an active enrollment for the current academic year, no cancellation for non-payment, and not applying for their degree during the internship period.",1.0,0.8396200892128389,0.2771776416003675,0.4611181672150352,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership."
What type of insurance is required to undertake internships?,"The type of insurance required to undertake internships is mandatory insurance that covers medical, accident, liability, and repatriation.",1.0,0.9796493658376694,0.7743167068135268,0.8054555910473776,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership."
How do students under 28 obtain the required internship insurance?,"Students under 28 obtain the required internship insurance through the mandatory insurance policy that is purchased when they enroll each academic year as part of their official degree program. This policy covers medical, accident, liability, and repatriation needs.",1.0,0.9999999999999997,0.48348641482206484,0.597504028255343,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.
What must students over 28 do to obtain internship insurance?,Students over the age of twenty-eight and those enrolled in the Faculty's own programs must purchase a voluntary insurance policy at the time of registration or after purchasing it afterwards.,1.0,0.4371482197115064,0.5259396837816472,0.8502980601866538,They must purchase a voluntary insurance policy.,Students over 28 must purchase a voluntary intership insurance policy during or after registration.
What is the minimum length allowed for the internship final report?,"The minimum length allowed for the internship final report is 15 pages (not counting the annexes), according to the given information.",1.0,1.0000000000000002,0.4983272635295566,0.5986544279972806,15 pages.,The minumum length of the intership report is 15 pages.
What is the maximun length allowed for the internship final report?,The maximum length allowed for the internship final report is 30 pages.,1.0,0.9834207905270983,0.8837425395803078,0.980645475899713,30 pages.,The maximum length of the intership report  is 30 pages.
How many modalities of the Bachelor’s Thesis are defined?,"There are four modalities of the Bachelor’s Thesis defined: Modality A, Modality B, Modality C, and Modality D.",1.0,0.8899093007471951,0.3977539465039048,0.4632116691136152,Four modalities.,There are four modalities of the Bachelor’s Thesis.
Can a student carry out the Bachelor’s Thesis with an external company?,"Yes, a student can carry out the Bachelor’s Thesis with an external company if they participate in the External Internships program as part of their Bachelor's Thesis under an educational cooperation agreement between the company and the university.",0.5,0.9999996634211626,0.34746691834090776,0.5201213655687875,Yes.,Students can carry out the Bachelor's Thesis with an external company.
Can a student carry out the Bachelor’s Thesis during the exchange?,"Yes, a student can carry out the Bachelor’s Thesis during the exchange as long as it fits within the scope of the academic exchange program.",1.0,1.0000000000000002,0.5607582692729128,0.7193919417511958,Yes.,Students can carry out the Bachelor's Thesis during the exchange.
What is the maximum number of students allowed for a Bachelor’s Thesis group?,"Exceptionally, the Head of Studies may authorize groups of two people for the Bachelor’s Thesis.",1.0,0.7025215669608954,0.5939638216861692,0.4964385365906061,Two students.,"The Bachelor’s Thesis must be done individually, with exceptions allowing groups of two students."
What is the maximum number of pages of the Bachelor's Thesis?,The Bachelor’s Thesis must have a maximum of 50 pages.,1.0,0.9838904448398024,0.8743275293443421,0.9912753736809243,50 pages.,The Bachelor's Thesis can be a maximum of 50 pages.
How many hours does a student have to dedicate to their final degree project?,A student has to dedicate a minimum of 300 hours and a maximum of 375 hours to their final degree project.,1.0,0.9076038306663917,0.12527082893683117,0.1746593082348289,450 hours.,They must dedicate a total of 450 hours to the Bachelor's Thesis.
Who evaluates the Bachelor’s Thesis?,The Bachelor's Thesis is evaluated by the Bachelor's Thesis Committee.,0.0,0.9940022896911805,0.06696594000494648,0.0985954439652355,The tribunal.,A tribunal is responsible for evaluating both the report and the defense.
How long does the student's defense of the thesis last?,"The indicative duration of the act will be 30 minutes, of which approximately 15 minutes will be devoted to the defense of the thesis.",1.0,0.7383860115947286,0.6140163616893146,0.6364074348997767,15 minuts.,The defense lasts 15 minuts.
How many members compose the Bachelor’s Thesis tribunal?,The Bachelor's Thesis tribunal consists of four members. Two must be from the UB and two from the UPC.,1.0,0.8955650698764644,0.45989661326617004,0.32035810955918476,4 members.,"The tribunal consists of at least four members: a president, a secretary, a member, and a substitute."
How many keywords must the Bachelor’s Thesis include in the abstract?,The Bachelor’s Thesis must include between five and ten keywords in the abstract.,0.5,0.9686291148258538,0.9052347381867343,0.9420441142157212,Between 5 and 10 keywords.,The abstract must include between 5 and 10 keywords.
How long should the abstract of the final thesis be?,The abstract of the final thesis should be no more than 10 lines long.,1.0,0.872320612513262,0.10343314483924258,0.161595524811022,Between 200 and 500 words.,The abstract should be between 200 and 500 words.
Where is the Bachelor’s Thesis submitted?,The Bachelor’s Thesis will be submitted in PDF format and as a single file through the Dropbox set up in the Bachelor’s Thesis area of the Virtual Campus. Printing is optional unless specifically requested by the Bachelor's Thesis advisor or committee.,1.0,0.8736590077907506,0.34256000074034576,0.3882410929169652,Through the dropbox of the Virtual Campus.,They will submit the thesis through the dropbox that will be set up in the TFG area of the Virtual Campus.
How many credits must undergraduate students have completed to participate in mobility programs?,Undergraduate students must have a minimum of 60 credits completed to participate in mobility programs.,1.0,0.9540689441342413,0.6154154332185977,0.9589855899121305,60 credits.,They must have completed at least 60 ECTS credits to participate in mobility programs.
How many credits do I have to enroll in at a minimum if I go there for a semester of exchange?,"If you plan to participate in an exchange program, you need to enroll in at least 15 credits per semester.",1.0,0.8682331112288342,0.1315149097594319,0.5538037026722384,Between 23 and 30 ECTS credits.,They must take between 23 and 30 ECTS credits for a semester exchange.
How many ECTS credits are required for a full-year undergraduate mobility stay?,"For an undergraduate student participating in a full-year mobility stay, the requirement is between 46 and 60 ECTS credits.",1.0,0.9330720613673632,0.5541923296615876,0.7313531257361412,Between 46 and 60 ECTS credits.,Between 46 and 60 ECTS credits are required for a full-year mobility stay.
What is the minimum number of credits required if a student has fewer than 60 credits remaining in their degree?,"If a student has fewer than 60 credits remaining in their degree, the minimum number of credits to be taken in international mobility will be 15 credits per semester.",0.5,0.7994038650267288,0.4847064175775488,0.538124615222282,15 credits.,The minimum is 15 credits per semester.
What identification document is required to participate in exchange programs?,"To participate in exchange programs, one must have either an NIE or a DNI as their identification document.",1.0,0.9840170366318076,0.8812076376568992,0.942859863444592,NIE or DNI,NIE or DNI is required to participate in exchange programs.
What is the total duration a student can be on exchange for each cycle of study?,"A student can be on exchange for up to 12 months per cycle of studies (Bachelor's, Master's) if they are a beneficiary of an Erasmus+ mobility program.",0.6666666666666666,0.739080273356277,0.4670013966667698,0.7744355435565314,12 months.,The total duration of the mobility per student may not exceed 12 months per cycle of studies
How is the selection made if there is a tie between two or more students?,"If there is a tie between two or more students, the selection process proceeds as follows:

First, applicants' applications are ranked based on the number of ECTS credits they have passed, with higher numbers indicating a better ranking. 

If this criterion also results in a tie, the spot is then awarded to the applicant who has never participated in any mobility programs before.

Should the tie still persist after these steps, the final tie-breaker is given to the applicant whose motivation statement in the Mobility-Online application scores the highest.",1.0,0.9401822506409628,0.8959708029372507,0.5408846167464891,They choose the student with the most credits earned.,"If there is a tie between two students, they will choose the student with the most credits earned."
Within how many days must assessment activity grades be published?,Assessment activity grades must be made public no later than 14 calendar days after the tests have been administered or the assignments submitted.,1.0,0.7665038714219125,0.7179478232185053,0.8102999851651482,14 calendar days.,Grades must be published no later than 14 calendar days after the assessment or submission.
When must the final course grade be published?,"The final course grade must be made public within a maximum of 14 calendar days from the date the continuous assessment processes, the single assessment exam, or the re-evaluation concludes, ensuring that the grades are published 5 calendar days before the re-evaluation date.",1.0,0.8094518236504475,0.3562379364058289,0.8875312410076104,14 calendar days.,"The final grade must be published within 14 calendar days after the end of continuous assessment, single assessment, or re-evaluation."
How many days before re-evaluation must grades be published?,Grades for assessment activities must be made public no later than 14 calendar days after the tests have been administered or the assignments submitted.,1.0,0.643669390770281,0.10022013638541005,0.16382946948204197,5 calendar days.,Grades must be published at least 5 calendar days before re-evaluation.
What happens if I can't attend an assessment exam due to justified reasons?,"If a student or group of students cannot attend an assessment exam due to exceptional and duly justified reasons, the course coordinator must take appropriate measures to facilitate their participation within the same academic period.",1.0,0.7642495377857137,0.46969123973310484,0.9735023740906679,The course coordinator must take the necessary measures to ensure it can take place within the same academic period. ,"If a student can't attend an assessment due to a justified reason, the course coordinator must take the necessary measures to ensure it can take place within the same academic period. "
What minimum grade is required to obtain honor distinction in a course?,"To obtain an honors distinction in a course, a student must achieve a grade of 9.0 or higher.",1.0,0.8854201708445566,0.6287492721973186,0.9575740428733548,9 or higher.,With a grade of 9.0 or higher may be awarded an honors grade.
What is the maximum percentage of honors allowed in a course?,"According to the given information, the maximum percentage of honors allowed in a course is 5%.",1.0,0.9999996393255156,0.8700174458958946,0.676688744310909,5%.,Honors may not exceed 5% of enrolled students.
