question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,"According to university regulations, typically 75% or more of the required credits must be passed for an undergraduate student to begin curricular internships.",0.9675211549460342,0.13865353719763035,0.4972264387249228,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"Yes, it is possible for class schedules to overlap with curricular intership schedules, as students may have multiple commitments during their academic year.",0.9420353539599687,0.04225227281576591,0.17458852889719015,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,"The minimum number of hours required for a formative project in the curricular internship varies depending on the specific course and institution, but it typically ranges from 10 to 20 hours per week.",1.0,0.10313145412101066,0.1835744928668856,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,"The maximum number of hours required for a formative project in the curricular internship varies depending on the specific course and institution, but it typically ranges from 10 to 20 hours per week.",0.9999996955044165,0.06390973568053468,0.17543785498243997,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,A student should ideally complete their curricular internship during their final year or semester to gain practical experience relevant to their field of study.,0.9107675589412874,0.9156522037105037,0.15349573591288912,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships can typically be carried out on weekdays, excluding weekends and public holidays, depending on the specific internship program's requirements and the institution's policies.",0.0,0.6303336399673651,0.6938668055336094,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships typically occur during regular business hours, which vary depending on the specific organization but generally range from 9 AM to 5 PM or later in some cases.",0.7632923023383423,0.12368836929075568,0.2014410085757088,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,"The maximum number of hours a student can typically work per day during internships varies depending on the specific internship program and local labor laws in different countries or regions. Generally, it's advisable for students to adhere to legal limits set by their country or region regarding working hours while pursuing an internship.",0.0,0.07282559242573226,0.17140436909855045,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Yes, there can be exceptions to the standard daily working hours during curricular internships, such as for training purposes or when necessary due to unforeseen circumstances.",0.973982072019575,0.43958503019478845,0.3517663112084908,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,The person who must make a financial contribution for each internship training project is typically the employer or sponsor of the program.,0.9387511852195849,0.5866260718169245,0.19801443839768604,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,"As an undergraduate in the Faculty of Economics and Business at the University of Barcelona, I do not have specific data on the minimum hourly remuneration for curricular internships. However, it's important to note that this information can vary depending on the institution, program, and country.",0.0,0.0668674831892941,0.1336314105905338,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,"Statistics students typically have opportunities to complete several internships during their academic career, often ranging from 2 to 4 internships depending on the duration of their studies and the specific requirements set by their university or program.",0.9228446018899877,0.15231484905525527,0.20506470606280972,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,"I'm sorry, but I do not have specific information about what ""GIPE"" refers to in the context of statistics or economics. Without more context or details, it's difficult for me to provide an accurate definition or explanation of this term. If you could provide additional information or clarify your question, I would be happy to try to assist further.",0.0,0.12473384118346721,0.12473517669123271,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,"I'm sorry, but I cannot provide an accurate definition or explanation for ""GAEF"" without more context about its specific meaning in your field of study or research. Could you please clarify what ""GAEF"" refers to?",0.0,0.14359574287368812,0.14359574287368812,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,The Career Services Office requires the internship documentation to be submitted at least two months in advance for processing.,0.90098098230856,0.48886459625041956,0.5848642619684925,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,A student cannot typically substitute an enrolled elective course for an internship; these two experiences serve different purposes in education and career development.,1.0,0.026246740587977144,0.18723559938458015,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,First-semester curricular internships in GIPE must be active by September 1st to ensure they align with academic schedules effectively.,0.9624872752724785,0.10210378801051911,0.5852878505715252,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,Second-semester curricular internships in GIPE must be active by September 1st to ensure they align with academic schedules effectively.,0.963618090486485,0.10864460440906634,0.21653861924283682,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
What is the deadline for internship enrollment extension?,"I'm sorry, but I cannot provide an accurate answer to this question as it would require access to specific information about the university's policies or procedures regarding internships and their enrollment extensions. As a language model AI, my knowledge cutoff is 2021, and I do not have real-time access to current events or institutional details. To get the most up-to-date information on deadlines for internship enrollment extensions, I recommend checking directly with the UB's official website or contacting the relevant department responsible for internships.",0.0,0.09529509689931197,0.14987558486382788,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,"Yes, a student can close their file if they have completed all credits but are still doing extracurricular internships, provided that the university's policies allow for this situation.",0.999999670385103,0.05058054863771739,0.18323773786051215,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,The percentage that corresponds to the company supervisor's evaluation in the final internship grade is typically 30%.,0.950787935445744,0.11052447243655328,0.19382194386621432,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,"The exact percentage varies depending on the specific course or program, but typically, the evaluation of the final report constitutes a significant portion of the final grade, often around 20-30% of the total grade.",0.0,0.09635587747863855,0.19497660212014975,40%.,The evaluation of the final report accounts for 40% of the final grade.
What percentage of the final grade corresponds to the academic supervisor’s monitoring?,"The exact percentage of the final grade that corresponds to the academic supervisor's monitoring can vary depending on the specific grading system used in the course or program, but typically it is around 10-20% of the total grade.",0.0,0.3897364454131428,0.49989735072829744,20%.,The academic supervisor monitoring accounts for 20% of the final grade.
When is internship registration processed?,Internship registration typically occurs during the academic year when students apply for internships or co-op placements in their respective fields of study.,0.9029650730113028,0.05625968578552197,0.1311613447527268,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.
Can students carry out international internships?,"Yes, students can participate in international internships as part of their academic curriculum or personal development opportunities.",0.9417223981319203,0.45209221213926054,0.5489967249672225,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership."
What type of insurance is required to undertake internships?,Internship programs typically require health insurance as part of their stipend packages to ensure that interns can receive medical attention during their time away from work.,0.7953794286671013,0.32899556771931115,0.34997198771940274,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership."
How do students under 28 obtain the required internship insurance?,Students under 28 typically obtain the required internship insurance through their university's career services department or directly from the company offering the internship.,0.9999999999999997,0.37634551285648143,0.8118871876255407,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.
What must students over 28 do to obtain internship insurance?,"Students over 28 who wish to obtain internship insurance typically need to meet specific eligibility criteria set by their university or employer, which may include proof of employment status, completion of certain academic requirements, or additional documentation related to their age group.",0.9152802878752433,0.09165333667314629,0.19687941945513995,They must purchase a voluntary insurance policy.,Students over 28 must purchase a voluntary intership insurance policy during or after registration.
What is the minimum length allowed for the internship final report?,"As an intern in the Faculty of Economics and Business at the University of Barcelona, I do not have specific information about the minimum length required for the internship final report. Typically, such guidelines can vary depending on the institution's policies or requirements.",0.0,0.05802931640870219,0.15530592891864287,15 pages.,The minumum length of the intership report is 15 pages.
What is the maximun length allowed for the internship final report?,"As an intern in the Faculty of Economics and Business at the University of Barcelona, I do not have specific information about the maximum length allowed for the internship final report. Typically, such details can vary depending on the institution's policies or requirements.",0.0,0.06651085679913192,0.1597953057805408,30 pages.,The maximum length of the intership report  is 30 pages.
How many modalities of the Bachelor’s Thesis are defined?,"The Bachelor's Thesis typically has three main modalities in most universities, including one for research-based projects, another for applied studies focusing on practical applications, and a third for theoretical work exploring academic concepts.",0.8483497719331168,0.0668570519415367,0.16898934786290098,Four modalities.,There are four modalities of the Bachelor’s Thesis.
Can a student carry out the Bachelor’s Thesis with an external company?,"Yes, a student can carry out their Bachelor's Thesis under the guidance of an academic supervisor while working with an external company as part of their research project.",0.9531872569273293,0.4257538131531529,0.5858433830422662,Yes.,Students can carry out the Bachelor's Thesis with an external company.
Can a student carry out the Bachelor’s Thesis during the exchange?,"Yes, a student can carry out their Bachelor's Thesis during an exchange program if they have appropriate arrangements made with both universities involved to ensure that all necessary academic requirements are met simultaneously or sequentially.",0.9574839284335187,0.4342048132283102,0.5115000174209895,Yes.,Students can carry out the Bachelor's Thesis during the exchange.
What is the maximum number of students allowed for a Bachelor’s Thesis group?,"The maximum number of students allowed for a Bachelor's Thesis group typically depends on the specific institution and department guidelines, but it usually ranges from 3 to 5 students per group.",0.0,0.08408387685351024,0.16644000298537587,Two students.,"The Bachelor’s Thesis must be done individually, with exceptions allowing groups of two students."
