question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,"The percentage of credits required for an undergraduate student to start curricular internships varies depending on the university and program. However, most universities require at least 12 credits to start a curricular internship. This includes both academic and practical components.",0.921833221277743,0.11615010370619848,0.41972658729917844,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,"Yes, class schedules and curricular intership schedules can overlap. This is because the curricular intership program is designed to provide students with practical work experience in their chosen field of study. The intership program is usually scheduled during the weekdays, and the class schedule is usually scheduled during the weekends or evenings. Therefore, students can attend both the class and the intership program during the same time period. However, it is essential to note that the class schedule may have some restrictions, such as the availability of the professor or the availability of the classroom, which may affect the scheduling of the intership program.",0.9452281666858663,0.03308184210699485,0.16190103536252223,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,"The minimum number of hours required for a formative project in the curricular internship is 10 hours. This includes the first day of the internship, the first day of the project, and the last day of the project.",1.0,0.10181173367579867,0.18330729905425144,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,The maximum number of hours required for a formative project in the curricular internship is 100 hours. This includes both the work hours and the time spent on the project itself.,1.0,0.07653910437988473,0.18383588051223904,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,"A student should complete their curricular internship during their final year of studies, which is usually the last year of their undergraduate program. This is because the internship is a mandatory part of the curriculum and is required to fulfill the requirements for graduation.",0.9107518288944872,0.5884727057239547,0.14371756395639415,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Internships can be carried out on any day of the week, as long as the internship is approved by the supervisor and the university. However, some universities may have specific deadlines or requirements for internships, so it's best to check with the university's internship office or the department where you're interested in interning.",0.8783162410880069,0.24336688648572127,0.16188351960986824,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,"Internships can take place between any time of the day or night, as long as the internship is approved by the university and the internship supervisor. However, some universities may have specific hours during which internships are allowed, such as during the academic year or during the summer. It's best to check with the university or internship supervisor for specific guidelines.",0.8808167209063206,0.10886844804513367,0.18857769561945795,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,"The maximum number of hours a student can work per day during internships is 40 hours per week, as per the regulation of the Spanish Ministry of Education, Science, and Technological Development. This regulation applies to all students, regardless of their academic program or field of study.",0.8553633450820071,0.07378600771282981,0.16761080798151315,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,"Yes, there are exceptions to the daily working hours during curricular internships. The working hours for a curricular internship are usually limited to 40 hours per week, which can be extended to 45 hours per week in certain cases. The exact number of hours depends on the specific internship program and the requirements of the employer. However, the internship program should provide clear guidelines on the number of hours that can be worked during the internship, and the intern should be informed of these guidelines before starting the internship.",0.9939335800862886,0.2248412355001175,0.287678296663506,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,"The person or organization that must make a financial contribution for each internship training project is the host organization. The host organization is responsible for covering the costs of the internship training project, including the salary, travel expenses, and other necessary expenses.",0.9387342637521949,0.32445955096664336,0.3814586666249563,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,"The minimum hourly remuneration during curricular internships is usually set by the university or the employer. The exact amount may vary depending on the internship program, the industry, and the employer's policies. It is best to check the specific details of the internship program with the university or the employer to get the most accurate information.",0.0,0.05443598439521214,0.15295988576578728,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,"Statistics students at the Faculty of Economics and Business of the University of Barcelona (UB) can complete a maximum of 12 internships during their studies. This includes both on-campus and off-campus internships. However, the exact number of internships may vary depending on the specific internship program and the availability of internship opportunities.",0.8177232132152515,0.1315255270282324,0.1624251184874041,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,"GIPE is an acronym for the Graduate Institute of Political Economy. It is a graduate school located in Geneva, Switzerland, that offers a Master's degree in Political Economy and International Relations. The school is known for its interdisciplinary approach to political science and economics, and its focus on the intersection of politics, economics, and international relations.",0.8911787408340976,0.16067945185730792,0.16067945185730792,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,"GAEF is an acronym for the Global Alliance for Education Foundation. It is a non-profit organization that aims to improve education in developing countries by providing financial support to schools and teachers. The organization's mission is to promote quality education for all children, especially those in the most vulnerable communities. GAEF provides grants, technical assistance, and training to schools and teachers in developing countries to help them improve their teaching methods, curriculum, and infrastructure. The organization also supports research and advocacy efforts to promote education reform and improve educational outcomes.",0.9090710746357437,0.16327496093413535,0.16327496093413535,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,The Career Services Office at the University of Barcelona (UB) requires the internship documentation to be submitted at least 10 days before the start of the internship. This is to ensure that the internship is properly registered and that the intern is properly supervised.,0.6560073227915598,0.08737174281480962,0.4184380489397723,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,"Yes, a student can substitute an enrolled elective course for an internship. However, the substitution must be approved by the course instructor and the department chair. The student must provide evidence of the coursework completed and the internship experience to support the substitution. The substitution may be approved for a limited number of courses, and the decision is subject to review by the department chair and the dean of the Faculty of Economics and Business.",0.9999996506812024,0.21523992915316348,0.3599411333240945,Yes.,The student can exchange a previously enrolled elective course for the internship course.
By when must first-semester curricular internships be active in GIPE?,First-semester curricular internships in GIPE must be active by the end of the first semester. This means that the internship must have started by the end of the first semester of the academic year.,0.9624676363906915,0.08449464880816308,0.5822886115848034,Approximately before November 14 of the academic year.,Thet curricular intership must be active in GIPE approximately before November 14 of the academic year.
By when must second-semester curricular internships be active in GIPE?,Second-semester curricular internships in GIPE must be active by the end of the second semester. This means that the internship must have started by the end of the first semester and must have been completed by the end of the second semester.,0.8577900458103226,0.386808571664014,0.5035638936995859,Approximately before April 30 of the academic year.,The curricular intership must be active in GIPE approximately before April 30 of the academic year.
What is the deadline for internship enrollment extension?,"The deadline for internship enrollment extension is usually the last day of the month, which is usually the 15th of the month. However, this may vary depending on the internship program and the university. It's best to check the internship program's website or contact the university's career services office for the most up-to-date information.",0.0,0.12502691425725193,0.6121941524327312,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,"Yes, a student can close their file if they have completed all credits but are still doing extracurricular internships. This is because the student must complete all requirements for the degree, including the internships, before graduating. However, the student can still submit their final report and thesis, which will be evaluated based on the requirements of the degree.",0.999999670385103,0.04194035799123664,0.18088347658664813,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,The percentage of the final internship grade that corresponds to the company supervisor's evaluation is not specified in the given material.,0.0,0.07973650195500975,0.1766853001477053,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,"The percentage of the final grade that corresponds to the evaluation of the final report depends on the specific course and the grading system used. Generally, the final report is evaluated based on the quality of the research, the clarity and coherence of the arguments, the relevance and originality of the findings, and the quality of the presentation and analysis. The final grade for the final report may range from A to F, depending on the course and the grading system.",0.0,0.06594572619507828,0.17910461614217557,40%.,The evaluation of the final report accounts for 40% of the final grade.
