question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What percentage of credits must an undergraduate student pass before starting curricular internships?,50%,0.0,0.9057689217791487,0.5992344068730071,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.
Can class schedules overlap with curricular intership schedules?,yes,0.1664065283279423,0.09961146767234648,0.05149612713403664,No.,"No, class schedules and practicum schedules cannot overlap."
What is the minimum number of hours required for a formative project in the curricular internship?,30,0.11753053896045317,0.0603887717950533,0.0262208649253067,300 hours.,The minimum duration of a curricular internship is 300 hours.
What is the maximum number of hours required for a formative project in the curricular internship?,30,0.13325360964024358,0.06099815614226568,0.024421924690766154,375 hours.,The maximum duration of a curricular internship is 375 hours.
In which period should a student complete their curricular internship?,summer,0.2955459374665756,0.04986097626496123,0.06261152345907692,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September)
On which days can internships be carried out?,"Mondays, Wednesdays and Fridays",0.40080316455410386,0.9043462148752037,0.8713538785015784,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays."
Between what hours can internships take place?,between 8 a.m. and 6 p.m.,0.49218842737105484,0.21158862418440916,0.15744822200951641,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.
What is the maximum number of hours a student can work per day during internships?,8,0.14554564955028287,0.058858005825101756,0.031002912742439156,6 hours.,"During the intership, the maximum is 6 hours per day."
Are there any exceptions to the daily working hours during curricular internships?,no,0.24343292819245307,0.12143902409229469,0.025240773487660174,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August)."
Who must make a financial contribution for each internship training project?,employers,0.2533201854475257,0.3930652300084756,0.08527327258368164,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.
What is the minimum hourly remuneration during curricular internships?,€1,0.2519561851835197,0.135625787067339,0.08514063094719287,3 euros.,The minimum hourly remuneration of inthership is 3 euros.
How many internships can statistics students complete?,three,0.10266872864580229,0.075355506460934,0.05519081441189566,Up to two internships.,Statistics students can complete up to two internships.
What is GIPE?,a statistical model,0.04712295505113564,0.02869799691697456,0.02869799691697456,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.
What is GAEF?,a group of equivalence classes,0.17411190095570697,0.04235365745967973,0.04235365745967973,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular.","GAEF is the application used to track and evaluate internships, both curricular and extracurricular."
How much in advance must the Career Services Office receive the internship documentation?,a month,0.15431518584820217,0.08996689698588692,0.429237164219663,At least one week in advance.,The Career Services Office must receive the intership documentation at least one week in advance.
Can a student substitute an enrolled elective course for an internship?,no,0.20971346948582395,0.12143902409229469,0.01988752016191661,Yes.,The student can exchange a previously enrolled elective course for the internship course.
