ID,Q,SA,LA,rouge1_f1_respuesta_con_rag_SA,rouge1_precision_respuesta_con_rag_SA,rouge1_recall_respuesta_con_rag_SA,rouge2_f1_respuesta_con_rag_SA,rouge2_precision_respuesta_con_rag_SA,rouge2_recall_respuesta_con_rag_SA,rougeL_f1_respuesta_con_rag_SA,rougeL_precision_respuesta_con_rag_SA,rougeL_recall_respuesta_con_rag_SA,bleu_respuesta_con_rag_SA,rouge1_f1_respuesta_con_rag_LA,rouge1_precision_respuesta_con_rag_LA,rouge1_recall_respuesta_con_rag_LA,rouge2_f1_respuesta_con_rag_LA,rouge2_precision_respuesta_con_rag_LA,rouge2_recall_respuesta_con_rag_LA,rougeL_f1_respuesta_con_rag_LA,rougeL_precision_respuesta_con_rag_LA,rougeL_recall_respuesta_con_rag_LA,bleu_respuesta_con_rag_LA,rouge1_f1_respuesta_sin_rag_SA,rouge1_precision_respuesta_sin_rag_SA,rouge1_recall_respuesta_sin_rag_SA,rouge2_f1_respuesta_sin_rag_SA,rouge2_precision_respuesta_sin_rag_SA,rouge2_recall_respuesta_sin_rag_SA,rougeL_f1_respuesta_sin_rag_SA,rougeL_precision_respuesta_sin_rag_SA,rougeL_recall_respuesta_sin_rag_SA,bleu_respuesta_sin_rag_SA,rouge1_f1_respuesta_sin_rag_LA,rouge1_precision_respuesta_sin_rag_LA,rouge1_recall_respuesta_sin_rag_LA,rouge2_f1_respuesta_sin_rag_LA,rouge2_precision_respuesta_sin_rag_LA,rouge2_recall_respuesta_sin_rag_LA,rougeL_f1_respuesta_sin_rag_LA,rougeL_precision_respuesta_sin_rag_LA,rougeL_recall_respuesta_sin_rag_LA,bleu_respuesta_sin_rag_LA
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,0.3333333333333333,0.0,0.11764705882352941,1.0,0.0625,0.0,0.0,0.0,0.11764705882352941,1.0,0.0625,0.0,0.28571428571428575,0.25,0.3333333333333333,0.0,0.0,0.0,0.28571428571428575,0.25,0.3333333333333333,0.0,0.1,0.25,0.0625,0.0,0.0,0.0,0.1,0.25,0.0625,0.0
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33333333333333337,1.0,0.2,0.19999999999999998,1.0,0.1111111111111111,0.33333333333333337,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.16666666666666669,0.5,0.1,0.0,0.0,0.0,0.16666666666666669,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),0.23529411764705882,0.2222222222222222,0.25,0.13333333333333333,0.125,0.14285714285714285,0.23529411764705882,0.2222222222222222,0.25,0.0,0.1904761904761905,0.2222222222222222,0.16666666666666666,0.10526315789473685,0.125,0.09090909090909091,0.1904761904761905,0.2222222222222222,0.16666666666666666,0.0,0.36363636363636365,0.6666666666666666,0.25,0.0,0.0,0.0,0.36363636363636365,0.6666666666666666,0.25,0.0,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.0
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.0,0.0,0.0,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.0,0.0,0.0,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.0
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,0.9333333333333333,1.0,0.875,0.923076923076923,1.0,0.8571428571428571,0.9333333333333333,1.0,0.875,0.8007374029168082,0.7368421052631579,1.0,0.5833333333333334,0.7058823529411764,1.0,0.5454545454545454,0.7368421052631579,1.0,0.5833333333333334,0.513417119032592,0.16666666666666666,0.25,0.125,0.0,0.0,0.0,0.16666666666666666,0.25,0.125,0.0,0.125,0.25,0.08333333333333333,0.0,0.0,0.0,0.125,0.25,0.08333333333333333,0.0
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33333333333333337,1.0,0.2,0.19999999999999998,1.0,0.1111111111111111,0.33333333333333337,1.0,0.2,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.18181818181818182,1.0,0.1,0.0,0.0,0.0,0.18181818181818182,1.0,0.1,0.0
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682926829268293,0.18032786885245902,0.5238095238095238,0.075,0.05,0.15,0.24390243902439024,0.16393442622950818,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,0.6,1.0,0.42857142857142855,0.5,1.0,0.3333333333333333,0.6,1.0,0.42857142857142855,0.0,0.4,1.0,0.25,0.3076923076923077,1.0,0.18181818181818182,0.4,1.0,0.25,0.0,0.22222222222222224,0.5,0.14285714285714285,0.0,0.0,0.0,0.22222222222222224,0.5,0.14285714285714285,0.0,0.14285714285714285,0.5,0.08333333333333333,0.0,0.0,0.0,0.14285714285714285,0.5,0.08333333333333333,0.0
