ID,Q,SA,LA,rouge1_f1_respuesta_con_rag_SA,rouge1_precision_respuesta_con_rag_SA,rouge1_recall_respuesta_con_rag_SA,rouge2_f1_respuesta_con_rag_SA,rouge2_precision_respuesta_con_rag_SA,rouge2_recall_respuesta_con_rag_SA,rougeL_f1_respuesta_con_rag_SA,rougeL_precision_respuesta_con_rag_SA,rougeL_recall_respuesta_con_rag_SA,bleu_respuesta_con_rag_SA,rouge1_f1_respuesta_con_rag_LA,rouge1_precision_respuesta_con_rag_LA,rouge1_recall_respuesta_con_rag_LA,rouge2_f1_respuesta_con_rag_LA,rouge2_precision_respuesta_con_rag_LA,rouge2_recall_respuesta_con_rag_LA,rougeL_f1_respuesta_con_rag_LA,rougeL_precision_respuesta_con_rag_LA,rougeL_recall_respuesta_con_rag_LA,bleu_respuesta_con_rag_LA,rouge1_f1_respuesta_sin_rag_SA,rouge1_precision_respuesta_sin_rag_SA,rouge1_recall_respuesta_sin_rag_SA,rouge2_f1_respuesta_sin_rag_SA,rouge2_precision_respuesta_sin_rag_SA,rouge2_recall_respuesta_sin_rag_SA,rougeL_f1_respuesta_sin_rag_SA,rougeL_precision_respuesta_sin_rag_SA,rougeL_recall_respuesta_sin_rag_SA,bleu_respuesta_sin_rag_SA,rouge1_f1_respuesta_sin_rag_LA,rouge1_precision_respuesta_sin_rag_LA,rouge1_recall_respuesta_sin_rag_LA,rouge2_f1_respuesta_sin_rag_LA,rouge2_precision_respuesta_sin_rag_LA,rouge2_recall_respuesta_sin_rag_LA,rougeL_f1_respuesta_sin_rag_LA,rougeL_precision_respuesta_sin_rag_LA,rougeL_recall_respuesta_sin_rag_LA,bleu_respuesta_sin_rag_LA
Q_001,What percentage of credits must an undergraduate student pass before starting curricular internships?,50 % of credits.,The student must have passed at least 50% of the program credits before starting curricular internships.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2222222222222222,0.125,0.0,0.0,0.0,0.16,0.2222222222222222,0.125,0.0,0.09302325581395349,0.05,0.6666666666666666,0.048780487804878044,0.02564102564102564,0.5,0.09302325581395349,0.05,0.6666666666666666,0.0,0.3928571428571429,0.275,0.6875,0.1111111111111111,0.07692307692307693,0.2,0.28571428571428575,0.2,0.5,0.0
Q_002,Can class schedules overlap with curricular intership schedules?,No.,"No, class schedules and practicum schedules cannot overlap.",0.03278688524590164,0.016666666666666666,1.0,0.0,0.0,0.0,0.03278688524590164,0.016666666666666666,1.0,0.0,0.17647058823529416,0.1,0.75,0.060606060606060594,0.03389830508474576,0.2857142857142857,0.11764705882352941,0.06666666666666667,0.5,0.03958676905214559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.04807692307692308,0.625,0.03636363636363636,0.019417475728155338,0.2857142857142857,0.08928571428571429,0.04807692307692308,0.625,0.02410306196641913
Q_003,What is the minimum number of hours required for a formative project in the curricular internship?,300 hours.,The minimum duration of a curricular internship is 300 hours.,0.039999999999999994,0.02040816326530612,1.0,0.020408163265306124,0.010309278350515464,1.0,0.039999999999999994,0.02040816326530612,1.0,0.0,0.16666666666666669,0.09183673469387756,0.9,0.09433962264150943,0.05154639175257732,0.5555555555555556,0.16666666666666669,0.09183673469387756,0.9,0.050539983607377895,0.05,0.02631578947368421,0.5,0.0,0.0,0.0,0.05,0.02631578947368421,0.5,0.0,0.3333333333333333,0.21052631578947367,0.8,0.13043478260869568,0.08108108108108109,0.3333333333333333,0.3333333333333333,0.21052631578947367,0.8,0.0
Q_004,What is the maximum number of hours required for a formative project in the curricular internship?,375 hours.,The maximum duration of a curricular internship is 375 hours.,0.21052631578947367,0.11764705882352941,1.0,0.11764705882352941,0.0625,1.0,0.21052631578947367,0.11764705882352941,1.0,0.0,0.6666666666666667,0.5294117647058824,0.9,0.39999999999999997,0.3125,0.5555555555555556,0.6666666666666667,0.5294117647058824,0.9,0.3146660996956416,0.06060606060606061,0.03225806451612903,0.5,0.0,0.0,0.0,0.06060606060606061,0.03225806451612903,0.5,0.0,0.3902439024390244,0.25806451612903225,0.8,0.15384615384615383,0.1,0.3333333333333333,0.3902439024390244,0.25806451612903225,0.8,0.0
Q_005,In which period should a student complete their curricular internship?,Internships must be completed within the academic year.,Internships must be completed within the academic year (15 September–14 September),0.13793103448275862,0.07407407407407407,1.0,0.07017543859649122,0.037383177570093455,0.5714285714285714,0.10344827586206895,0.05555555555555555,0.75,0.0,0.19999999999999998,0.1111111111111111,1.0,0.08474576271186442,0.04672897196261682,0.45454545454545453,0.13333333333333333,0.07407407407407407,0.6666666666666666,0.0,0.15384615384615385,0.09090909090909091,0.5,0.0,0.0,0.0,0.11538461538461538,0.06818181818181818,0.375,0.0,0.14285714285714288,0.09090909090909091,0.3333333333333333,0.0,0.0,0.0,0.10714285714285714,0.06818181818181818,0.25,0.0
Q_006,On which days can internships be carried out?,"From Monday to Friday, excluding holidays.","Internships must be carried out from Monday to Friday, excluding holidays.",0.1142857142857143,0.06060606060606061,1.0,0.03883495145631067,0.02040816326530612,0.4,0.0761904761904762,0.04040404040404041,0.6666666666666666,0.022832806178828022,0.19999999999999998,0.1111111111111111,1.0,0.0925925925925926,0.05102040816326531,0.5,0.16363636363636364,0.09090909090909091,0.8181818181818182,0.04482735504657124,0.03225806451612903,0.017857142857142856,0.16666666666666666,0.0,0.0,0.0,0.03225806451612903,0.017857142857142856,0.16666666666666666,0.0,0.1492537313432836,0.08928571428571429,0.45454545454545453,0.061538461538461535,0.03636363636363636,0.2,0.1492537313432836,0.08928571428571429,0.45454545454545453,0.0
Q_007,Between what hours can internships take place?,Between 8:00 AM and 9:00 PM.,Internships can take place between 8:00 AM and 9:00 PM.,0.15094339622641506,0.08163265306122448,1.0,0.1346153846153846,0.07216494845360824,1.0,0.15094339622641506,0.08163265306122448,1.0,0.07489909325086527,0.18181818181818182,0.10204081632653061,0.8333333333333334,0.12962962962962962,0.07216494845360824,0.6363636363636364,0.16363636363636366,0.09183673469387756,0.75,0.08743551816371627,0.05714285714285715,0.03225806451612903,0.25,0.0,0.0,0.0,0.05714285714285715,0.03225806451612903,0.25,0.0,0.16216216216216214,0.0967741935483871,0.5,0.11111111111111112,0.06557377049180328,0.36363636363636365,0.16216216216216214,0.0967741935483871,0.5,0.05497298293410384
Q_008,What is the maximum number of hours a student can work per day during internships?,6 hours.,"During the intership, the maximum is 6 hours per day.",0.03669724770642201,0.018691588785046728,1.0,0.018691588785046728,0.009433962264150943,1.0,0.03669724770642201,0.018691588785046728,1.0,0.0,0.15384615384615383,0.08411214953271028,0.9,0.10434782608695653,0.05660377358490566,0.6666666666666666,0.11965811965811965,0.06542056074766354,0.7,0.027697872721560022,0.04081632653061224,0.02127659574468085,0.5,0.0,0.0,0.0,0.04081632653061224,0.02127659574468085,0.5,0.0,0.2807017543859649,0.1702127659574468,0.8,0.10909090909090909,0.06521739130434782,0.3333333333333333,0.17543859649122806,0.10638297872340426,0.5,0.0
Q_009,Are there any exceptions to the daily working hours during curricular internships?,Yes.,"The intership daily limit can be extended to 8 hours in special cases (few credits remaining, EUS program, or July–August).",0.01904761904761905,0.009615384615384616,1.0,0.0,0.0,0.0,0.01904761904761905,0.009615384615384616,1.0,0.0,0.192,0.11538461538461539,0.5714285714285714,0.04878048780487805,0.02912621359223301,0.15,0.16,0.09615384615384616,0.47619047619047616,0.0,0.02222222222222222,0.011235955056179775,1.0,0.0,0.0,0.0,0.02222222222222222,0.011235955056179775,1.0,0.0,0.2,0.12359550561797752,0.5238095238095238,0.055555555555555546,0.03409090909090909,0.15,0.2,0.12359550561797752,0.5238095238095238,0.031120749234966084
Q_010,Who must make a financial contribution for each internship training project?,The company or institution hosting the internship.,The company or institution hosting the internship must make the financial contribution.,0.09836065573770492,0.05217391304347826,0.8571428571428571,0.06666666666666667,0.03508771929824561,0.6666666666666666,0.09836065573770492,0.05217391304347826,0.8571428571428571,0.0,0.15748031496062992,0.08695652173913043,0.8333333333333334,0.096,0.05263157894736842,0.5454545454545454,0.12598425196850394,0.06956521739130435,0.6666666666666666,0.0,0.2040816326530612,0.11904761904761904,0.7142857142857143,0.0425531914893617,0.024390243902439025,0.16666666666666666,0.2040816326530612,0.11904761904761904,0.7142857142857143,0.0,0.37037037037037035,0.23809523809523808,0.8333333333333334,0.11538461538461536,0.07317073170731707,0.2727272727272727,0.22222222222222224,0.14285714285714285,0.5,0.0
