doc_id,chunk_id,posicio,text_chunk,text_chunk_norm
DOC_001,DOC_001_chunk_0000,0,Regulations for External Academic Internships,regulations for external academic internships
DOC_001,DOC_001_chunk_0001,1,The statistics degree is from the University of Barcelona and is part of the Faculty of Economics and Business. The program has a total of 240 credits,the statistics degree is from the university of barcelona and is part of the faculty of economics and business the program has a total of 240 credits
DOC_001,DOC_001_chunk_0002,2,". The program has a total of 240 credits. Requirements for Accessing Internships  In addition to what is established by the UB regulations, in order to carry out the internships, the student of the Faculty of Economics and Business must meet the following requirements: In the case of curricular internships: d) Class schedules and practicum schedules cannot overlap",the program has a total of 240 credits requirements for accessing internships in addition to what is established by the ub regulations in order to carry out the internships the student of the faculty of economics and business must meet the following requirements in the case of curricular internships d class schedules and practicum schedules cannot overlap
DOC_001,DOC_001_chunk_0003,3,". e) At the time the intership begins, the undergraduate student must have passed 50% of the credits for the program.",e at the time the intership begins the undergraduate student must have passed 50 of the credits for the program
DOC_001,DOC_001_chunk_0004,4,"Duration and Schedules of Internships  The external internships of students of the Faculty of Economics and Business are limited in terms of the number of hours, both overall and per training project, depending on the type of instruction. The breakdown of hours is set out in Annex 1.  Curricular internships: you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program",duration and schedules of internships the external internships of students of the faculty of economics and business are limited in terms of the number of hours both overall and per training project depending on the type of instruction the breakdown of hours is set out in annex 1 curricular internships you may undertake as many curricular internships as the internship courses included in the curriculum of the corresponding program
DOC_001,DOC_001_chunk_0005,5,. Each training project must include a minimum of 300 hours and a maximum of 375 hours.,each training project must include a minimum of 300 hours and a maximum of 375 hours
DOC_001,DOC_001_chunk_0006,6,"Internships, both curricular and extracurricular, must be carried out within the academic period for which the enrollment is valid. Under no circumstances may they be extended or extend beyond the end of the official academic year of the Faculty and the University of Barcelona. This usually runs from September 15 of one year to September 14 of the following year.",internships both curricular and extracurricular must be carried out within the academic period for which the enrollment is valid under no circumstances may they be extended or extend beyond the end of the official academic year of the faculty and the university of barcelona this usually runs from september 15 of one year to september 14 of the following year
DOC_001,DOC_001_chunk_0007,7,"Internships, both curricular and extracurricular, must be carried out Monday through Friday, excluding holidays, between 8:00 AM and 9:00 PM. The student may work a maximum of 6 hours per day",internships both curricular and extracurricular must be carried out monday through friday excluding holidays between 800 am and 900 pm the student may work a maximum of 6 hours per day
DOC_001,DOC_001_chunk_0008,8,". The student may work a maximum of 6 hours per day. Exceptionally, they may work up to a maximum of 8 hours per day if they are in one of the following situations: if they have 12 credits left to complete their degree, excluding credits for the Final Degree Project, if they are a student in the EUS program or if the internship takes place during the months of July and August.",the student may work a maximum of 6 hours per day exceptionally they may work up to a maximum of 8 hours per day if they are in one of the following situations if they have 12 credits left to complete their degree excluding credits for the final degree project if they are a student in the eus program or if the internship takes place during the months of july and august
DOC_001,DOC_001_chunk_0009,9,"Economic Aspects: Each training project requires a financial contribution to the Faculty from the company or institution to cover the management, processing, and formalization of the internship training project, regardless of the duration of the student's internship period. This amount must be specified in each student's training project. Exemption from payment is always subject to the discretion of the Dean of the Faculty",economic aspects each training project requires a financial contribution to the faculty from the company or institution to cover the management processing and formalization of the internship training project regardless of the duration of the students internship period this amount must be specified in each students training project exemption from payment is always subject to the discretion of the dean of the faculty
